fact_id,uuid,indicator_id,location_id,categoryoption_id,datasource_id,measuremethod_id,numerator_value,denominator_value,value_received,min_value,max_value,target_value,string_value,start_period,end_period,period,comment
101,63fa6d35-8629-42a2-abf2-34c1c5d45d8f,35,2,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2019,2019,2019,approved
102,4d18eb18-25fc-4397-a4d9-26eeb7fb8d6a,35,2,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2018,2018,2018,approved
103,5b13b0bd-ba96-4093-a335-92b394c215a7,35,3,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2019,2019,2019,approved
104,8bffb91b-7e55-4e50-952f-30c57af8a485,35,3,999,3,1,NULL,NULL,80,NULL,NULL,NULL,NULL,2018,2018,2018,approved
105,eb070a03-7a60-4344-b01c-2fc3bc3b77a1,35,4,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
106,acea6705-cfda-4d74-98fd-d418b5f62e69,35,4,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
107,ef4d7f42-f2e2-47d3-8122-e2df604b186a,35,5,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
108,0e0bbc74-346c-41e2-8a9a-b3d0384e72c6,35,5,999,3,1,NULL,NULL,10,NULL,NULL,NULL,NULL,2018,2018,2018,approved
109,fcd60097-6c32-4e58-b115-b117d7e58c79,35,6,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
110,da5f09a5-3540-4588-aee4-a3934acd8dad,35,6,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
111,e0f75db7-b6d0-4839-bdd6-676ee28fb7e0,35,7,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
112,4edc5c4a-18b9-4b56-96ee-d7ebf743518d,35,7,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
113,be0adc72-c94b-48d7-ac60-92c1f5a376c8,35,9,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
114,79c58660-d598-4a5b-a148-cfee0f74b0a6,35,9,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
115,5ea30aab-51ea-4606-8ad7-38be480566c9,35,8,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
116,41275678-f66b-47a5-88c4-724cffdcc9f3,35,8,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
117,ca85289f-56f8-4a77-b42b-3dcc73b080b0,35,10,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
118,9c2382b6-ce6e-4ba9-a27d-ab04fe9d6e9f,35,10,999,3,1,NULL,NULL,0,NULL,NULL,NULL,NULL,2018,2018,2018,approved
119,75695ae0-c2d6-44c5-8ee4-271e9a700f54,35,11,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2019,2019,2019,approved
120,6ab6aaa0-a95d-4a6a-9f6d-f670ebceda19,35,11,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
121,2eb07c39-0424-4bd0-8b1b-e383c14a8684,35,12,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
122,75d21b6b-9448-4bd7-b6a5-f4b4992f4a97,35,12,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
123,debb1419-b4a9-414c-b6a8-b694d8e9b6e3,35,13,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
124,327b9d29-323e-49dd-af64-1a92b436f417,35,13,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
125,59eca870-2c7b-4a63-b143-6577e178798a,35,14,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2018,2018,2018,approved
126,c13b13f7-19a5-4cd5-a069-6eeef1f0a8c6,35,14,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
127,546d74bf-04a4-4082-97be-0fbc579416ec,35,15,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
128,bd8db080-cf96-4753-8d01-67fcb064c1c8,35,15,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
129,c8b41d43-c075-4b77-9dc5-ce7457d72ec1,35,16,999,3,1,NULL,NULL,0,NULL,NULL,NULL,NULL,2018,2018,2018,approved
130,d6dcef5b-2052-46b2-a5dd-8ea5a0ccec00,35,16,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
131,8c20c901-21bd-4f2a-99d9-14f0c6c8a47f,35,17,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
132,51a90865-d1ec-410d-a901-3243abe9f840,35,17,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
133,f7f3b6db-b893-4d2e-8f86-855df0197526,35,43,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
134,0f322f76-68de-42ae-bcf7-f0b1d0ec25d8,35,43,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
135,90fac000-ee54-4bdb-9de6-eaf7c1a8fcd6,35,18,999,3,1,NULL,NULL,80,NULL,NULL,NULL,NULL,2019,2019,2019,approved
