fact_id,uuid,indicator_id,location_id,period_id,categoryoption_id,datasource_id,measuremethod_id,numerator_value,denominator_value,value_received,value_calculated,min_value,max_value,target_value,string_value,comment
1,5bad94e74d4b607d7b2c493f067868ee,516,2,37,999,2,2,NULL,NULL,3.49,NULL,NULL,NULL,NULL,NULL,approved
2,a6df559dbb9655c860b7fd9cdce15d36,128,2,37,999,7,2,NULL,NULL,61.3,NULL,NULL,NULL,NULL,NULL,approved
3,fe72e218cf48367ffa429fa0c3cd58f5,129,2,37,999,7,2,NULL,NULL,282.38,NULL,NULL,NULL,NULL,NULL,approved
4,f8dc053d3a294b22aa3942efad5ac596,516,3,37,999,2,2,NULL,NULL,2.33,NULL,NULL,NULL,NULL,NULL,approved
5,ff093a637df9814257cc2b8aa7309a8f,128,3,37,999,7,2,NULL,NULL,12.96,NULL,NULL,NULL,NULL,NULL,approved
6,be2011b80a16f0622d30b168276646df,129,3,37,999,7,2,NULL,NULL,64.93,NULL,NULL,NULL,NULL,NULL,approved
7,95fd88c18fb01920772b7cd62fc0dbeb,516,4,37,999,2,2,NULL,NULL,4.23,NULL,NULL,NULL,NULL,NULL,approved
8,7bf5b57a3057abab64603f85dba416a8,128,4,37,999,7,2,NULL,NULL,15.83,NULL,NULL,NULL,NULL,NULL,approved
9,c6143c4e16158abadc6b97edffecc2ee,129,4,37,999,7,2,NULL,NULL,55.87,NULL,NULL,NULL,NULL,NULL,approved
10,db89f3e8d6ba3e695b58bb15b91018c7,516,5,37,999,2,2,NULL,NULL,5.82,NULL,NULL,NULL,NULL,NULL,approved
11,de08958ac542645bbcd1d8e39e71c374,128,5,37,999,7,2,NULL,NULL,194.81,NULL,NULL,NULL,NULL,NULL,approved
12,d8292aa913525765a9d8d542b1818695,129,5,37,999,7,2,NULL,NULL,480.05,NULL,NULL,NULL,NULL,NULL,approved
13,89198f1b60f52e84401547253002b87a,516,6,37,999,2,2,NULL,NULL,3.32,NULL,NULL,NULL,NULL,NULL,approved
14,9c9c9899cdbb091273d15216749ddb04,128,6,37,999,7,2,NULL,NULL,7.53,NULL,NULL,NULL,NULL,NULL,approved
15,746017cd43f8772776c80c9c6ba3c211,129,6,37,999,7,2,NULL,NULL,28.28,NULL,NULL,NULL,NULL,NULL,approved
16,29e36055d03b7de2e01f50cb10d7bb9e,516,7,37,999,2,2,NULL,NULL,6.18,NULL,NULL,NULL,NULL,NULL,approved
17,90b74a48f4ffbe0b95be443cacb30683,128,7,37,999,7,2,NULL,NULL,8.4,NULL,NULL,NULL,NULL,NULL,approved
18,a9ff2858c6758d715a560da855fd9577,129,7,37,999,7,2,NULL,NULL,36.92,NULL,NULL,NULL,NULL,NULL,approved
19,74af344c8c3c4e875efd8fa841f252ce,516,8,37,999,2,2,NULL,NULL,3.98,NULL,NULL,NULL,NULL,NULL,approved
20,3e6a0e0bf969d56dd3d22f95328f2825,128,8,37,999,7,2,NULL,NULL,26.29,NULL,NULL,NULL,NULL,NULL,approved
21,48c68316fca968ffd599ea97133ed80c,129,8,37,999,7,2,NULL,NULL,82.19,NULL,NULL,NULL,NULL,NULL,approved
22,df48bcd344509bade8d9ca91f5fb764d,516,9,37,999,2,2,NULL,NULL,4.43,NULL,NULL,NULL,NULL,NULL,approved
23,b7ebe2913b8b191ff9fb219dceb1e492,128,9,37,999,7,2,NULL,NULL,62.04,NULL,NULL,NULL,NULL,NULL,approved
24,3f70cb94187deb659fe3c0a65be9db9d,129,9,37,999,7,2,NULL,NULL,147.32,NULL,NULL,NULL,NULL,NULL,approved
25,cfc85ec1165b380c5e088aff4d1cfc1c,516,10,37,999,2,2,NULL,NULL,4.99,NULL,NULL,NULL,NULL,NULL,approved
26,e873521a2a2fecc5b660f5acca8dd5d3,128,10,37,999,7,2,NULL,NULL,11.73,NULL,NULL,NULL,NULL,NULL,approved
27,b22ed050043423c9f16f1387507dc3a4,129,10,37,999,7,2,NULL,NULL,31.29,NULL,NULL,NULL,NULL,NULL,approved
28,503e81c1443e9fe82267077988f8dfcd,516,11,37,999,2,2,NULL,NULL,5.46,NULL,NULL,NULL,NULL,NULL,approved
29,fa124d124c85bfe5fec6a12115de09aa,128,11,37,999,7,2,NULL,NULL,10.25,NULL,NULL,NULL,NULL,NULL,approved
30,9f6c93888ac37e8ef035f10498e9cfdf,129,11,37,999,7,2,NULL,NULL,48.62,NULL,NULL,NULL,NULL,NULL,approved
31,f6f6bd48849605128b2c50f928982a03,516,12,37,999,2,2,NULL,NULL,12.25,NULL,NULL,NULL,NULL,NULL,approved
32,83ba0e806fedcbcba68bbb74d48388f0,128,12,37,999,7,2,NULL,NULL,45.6,NULL,NULL,NULL,NULL,NULL,approved
33,e652f3f66a8e756f7fd5f6e889f2f5d9,129,12,37,999,7,2,NULL,NULL,142.41,NULL,NULL,NULL,NULL,NULL,approved
34,24a710d87abc2339f14600fb8448af64,516,13,37,999,2,2,NULL,NULL,1.69,NULL,NULL,NULL,NULL,NULL,approved
35,83b0d43a2e7d40b61a20a69b6a777351,128,13,37,999,7,2,NULL,NULL,16.91,NULL,NULL,NULL,NULL,NULL,approved
36,925822c6802d312507deaddad1b65e9c,129,13,37,999,7,2,NULL,NULL,60.15,NULL,NULL,NULL,NULL,NULL,approved
37,ffdc30a301403b4e3d4304ba62b10ab5,516,14,37,999,2,2,NULL,NULL,5.67,NULL,NULL,NULL,NULL,NULL,approved
38,edaa73121abdfd3e02aeed3f2f7caf48,128,14,37,999,7,2,NULL,NULL,36.43,NULL,NULL,NULL,NULL,NULL,approved
39,22fe001b94891c8b355d152798a20939,129,14,37,999,7,2,NULL,NULL,132.52,NULL,NULL,NULL,NULL,NULL,approved
40,c4aaf2f356bef7b21a70938a44fe88b4,516,15,37,999,2,2,NULL,NULL,1.57,NULL,NULL,NULL,NULL,NULL,approved
41,c5260bb73c83b15bca643fefcfd6889c,128,15,37,999,7,2,NULL,NULL,20.16,NULL,NULL,NULL,NULL,NULL,approved
42,6a798b7b38826b5abb228e10e2702021,129,15,37,999,7,2,NULL,NULL,6.6,NULL,NULL,NULL,NULL,NULL,approved
43,c9da467ea00e6b0778fb2fbed42b32ef,516,16,37,999,2,2,NULL,NULL,2.36,NULL,NULL,NULL,NULL,NULL,approved
44,e02dd48da4715d58f993aff55554e292,128,16,37,999,7,2,NULL,NULL,44.39,NULL,NULL,NULL,NULL,NULL,approved
45,9412374a4730fe83e86455c7c2540b3d,129,16,37,999,7,2,NULL,NULL,223.03,NULL,NULL,NULL,NULL,NULL,approved
46,dca2328d1b3c37a1ee2f5244f79d1c7f,516,17,37,999,2,2,NULL,NULL,4.51,NULL,NULL,NULL,NULL,NULL,approved
47,e627e8c5daca64a1f4e48d9559bafdb6,128,17,37,999,7,2,NULL,NULL,9.39,NULL,NULL,NULL,NULL,NULL,approved
48,f808dc4970b634bd9f08496d00256bcb,129,17,37,999,7,2,NULL,NULL,60.05,NULL,NULL,NULL,NULL,NULL,approved
49,5afc9866fc4488273796039bfb59a607,516,18,37,999,2,2,NULL,NULL,4.37,NULL,NULL,NULL,NULL,NULL,approved
50,ec9d5cf0e041a958875d69f38941acaf,128,18,37,999,7,2,NULL,NULL,5.36,NULL,NULL,NULL,NULL,NULL,approved
51,f36df79a4d84e3fcb973800ce403f7d8,129,18,37,999,7,2,NULL,NULL,21.38,NULL,NULL,NULL,NULL,NULL,approved
52,eec7c523d80c8e6bd88da70d54183c71,516,19,37,999,2,2,NULL,NULL,2.91,NULL,NULL,NULL,NULL,NULL,approved
53,1af2849869a898a01e6310d57bf064ef,128,19,37,999,7,2,NULL,NULL,127.36,NULL,NULL,NULL,NULL,NULL,approved
